outlet_id|location_id|transaction_id|upc_code|basket_ref|qty|amount|event_ts
OUT-1014|LOC-0514|TXN-30000691|701065133381|BSK-AC7C2BCA|1|22.97|2026-06-16T11:08:28Z
OUT-1006|LOC-0506|TXN-30000696|590175186369|BSK-6EF38B2F|1|41.41|2026-06-16T11:19:19Z
OUT-1028|LOC-0528|TXN-30000695|340438427971|BSK-F3DB4104|3|83.79|2026-06-16T11:39:17Z
OUT-1028|LOC-0528|TXN-30000695|609320489962|BSK-F3DB4104|1|15.45|2026-06-16T11:39:17Z
OUT-1028|LOC-0528|TXN-30000690|786527858545|BSK-0E1F9BE0|1|30.88|2026-06-16T12:18:19Z
OUT-1030|LOC-0530|TXN-30000728|157473384844|BSK-B2DAADD1|1|7.72|2026-06-16T12:27:02Z
OUT-1030|LOC-0530|TXN-30000728|979688680586|BSK-B2DAADD1|1|30.09|2026-06-16T12:27:02Z
OUT-1007|LOC-0507|TXN-30000721|157473384844|BSK-77C0FC27|1|7.72|2026-06-16T12:33:43Z
OUT-1015|LOC-0515|TXN-30000719|014767976430|BSK-751D0BE7|2|75.96|2026-06-16T12:38:41Z
OUT-1015|LOC-0515|TXN-30000719|590175186369|BSK-751D0BE7|2|82.82|2026-06-16T12:38:41Z
OUT-1015|LOC-0515|TXN-30000719|982507146118|BSK-751D0BE7|1|41.72|2026-06-16T12:38:41Z
OUT-1039|LOC-0539|TXN-30000730|251341252867|BSK-99860656|2|42.96|2026-06-16T13:10:30Z
OUT-1039|LOC-0539|TXN-30000730|671902294134|BSK-99860656|1|6.79|2026-06-16T13:10:30Z
OUT-1039|LOC-0539|TXN-30000730|868633752433|BSK-99860656|2|93.84|2026-06-16T13:10:30Z
OUT-1004|LOC-0504|TXN-30000722|998094024456|BSK-0B2459E5|1|18.19|2026-06-16T13:54:11Z
OUT-1019|LOC-0519|TXN-30000723|566246287334|BSK-40BC3D62|1|15.73|2026-06-16T14:00:59Z
OUT-1019|LOC-0519|TXN-30000723|812067974039|BSK-40BC3D62|2|30.22|2026-06-16T14:00:59Z
OUT-1033|LOC-0533|TXN-30000705|748016245656|BSK-619F0A24|1|3.21|2026-06-16T14:32:16Z
OUT-1025|LOC-0525|TXN-30000693|330365414588|BSK-C18F8D47|2|41.14|2026-06-16T15:00:06Z
OUT-1025|LOC-0525|TXN-30000693|749894134353|BSK-C18F8D47|1|9.78|2026-06-16T15:00:06Z
OUT-1017|LOC-0517|TXN-30000727|642059304076|BSK-3E27FDE7|2|53.86|2026-06-16T15:05:27Z
OUT-1017|LOC-0517|TXN-30000727|947383473598|BSK-3E27FDE7|1|49.23|2026-06-16T15:05:27Z
OUT-1004|LOC-0504|TXN-30000687|315098393010|BSK-72B3F2CC|3|107.01|2026-06-16T16:15:32Z
OUT-1031|LOC-0531|TXN-30000700|340438427971|BSK-6C533408|1|27.93|2026-06-16T16:18:32Z
OUT-1031|LOC-0531|TXN-30000700|462914865289|BSK-6C533408|2|11.14|2026-06-16T16:18:32Z
OUT-1031|LOC-0531|TXN-30000700|565452711114|BSK-6C533408|1|22.15|2026-06-16T16:18:32Z
OUT-1031|LOC-0531|TXN-30000700|680112805986|BSK-6C533408|3|24.75|2026-06-16T16:18:32Z
OUT-1001|LOC-0501|TXN-30000718|812067974039|BSK-6F4C7FFD|1|15.11|2026-06-16T16:20:44Z
OUT-1001|LOC-0501|TXN-30000718|927532697310|BSK-6F4C7FFD|1|44.92|2026-06-16T16:20:44Z
OUT-1020|LOC-0520|TXN-30000715|183673657662|BSK-AA6837C0|2|73.48|2026-06-16T16:39:58Z
OUT-1020|LOC-0520|TXN-30000715|265479356465|BSK-AA6837C0|1|18.88|2026-06-16T16:39:58Z
OUT-1020|LOC-0520|TXN-30000701|139837354038|BSK-BD9D9D7E|1|46.91|2026-06-16T16:44:18Z
OUT-1020|LOC-0520|TXN-30000701|221418880590|BSK-BD9D9D7E|2|14.82|2026-06-16T16:44:18Z
OUT-1023|LOC-0523|TXN-30000710|464887719064|BSK-9F053FA7|1|36.98|2026-06-16T17:07:29Z
OUT-1017|LOC-0517|TXN-30000709|199410137212|BSK-DD57077A|1|45.34|2026-06-16T17:54:19Z
OUT-1017|LOC-0517|TXN-30000709|420549329668|BSK-DD57077A|2|52.48|2026-06-16T17:54:19Z
OUT-1017|LOC-0517|TXN-30000709|527177449055|BSK-DD57077A|1|25.85|2026-06-16T17:54:19Z
OUT-1017|LOC-0517|TXN-30000709|839335290424|BSK-DD57077A|2|98.76|2026-06-16T17:54:19Z
OUT-1035|LOC-0535|TXN-30000706|749894134353|BSK-17669E7A|1|9.78|2026-06-16T18:13:44Z
OUT-1009|LOC-0509|TXN-30000724|016400524275|BSK-4BF12C14|1|28.02|2026-06-16T18:28:53Z
OUT-1020|LOC-0520|TXN-30000694|460953962181|BSK-AB2DBAAA|1|48.75|2026-06-16T18:36:46Z
OUT-1008|LOC-0508|TXN-30000716|604223253672|BSK-5BAE4FD4|1|7.96|2026-06-16T18:48:40Z
OUT-1008|LOC-0508|TXN-30000716|959629233095|BSK-5BAE4FD4|2|36.36|2026-06-16T18:48:40Z
OUT-1005|LOC-0505|TXN-30000729|049663193148|BSK-B9C40E32|2|85.30|2026-06-16T18:55:06Z
OUT-1005|LOC-0505|TXN-30000729|121267888610|BSK-B9C40E32|1|2.28|2026-06-16T18:55:06Z
OUT-1005|LOC-0505|TXN-30000729|940139904902|BSK-B9C40E32|1|38.38|2026-06-16T18:55:06Z
OUT-1033|LOC-0533|TXN-30000725|969029593910|BSK-A62A6C10|1|46.89|2026-06-16T19:38:40Z
OUT-1033|LOC-0533|TXN-30000725|970213556901|BSK-A62A6C10|1|30.64|2026-06-16T19:38:40Z
OUT-1025|LOC-0525|TXN-30000689|113529096567|BSK-F6AA2893|1|6.18|2026-06-16T19:58:33Z
OUT-1071|LOC-0517|TXN-30000697|783777014363|BSK-8C71F7CE|1|34.89|2026-06-16T20:39:29Z
OUT-1028|LOC-0528|TXN-30000703|927532697310|BSK-5B764007|2|89.84|2026-06-16T20:50:50Z
OUT-1012|LOC-0512|TXN-30000711|985698478969|BSK-88B03070|1|5.85|2026-06-16T21:03:20Z
OUT-1036|LOC-0536|TXN-30000686|931746120045|BSK-5C982E6D|2|99.58|2026-06-16T21:03:33Z
OUT-1034|LOC-0534|TXN-30000688|421024994715|BSK-50632EF1|3|71.88|2026-06-16T22:19:06Z
OUT-1024|LOC-0524|TXN-30000704|016400524275|BSK-5E01107C|1|28.02|2026-06-16T22:20:20Z
OUT-1024|LOC-0524|TXN-30000704|482814893250|BSK-5E01107C|1|38.35|2026-06-16T22:20:20Z
OUT-1024|LOC-0524|TXN-30000704|527177449055|BSK-5E01107C|2|51.70|2026-06-16T22:20:20Z
OUT-1012|LOC-0512|TXN-30000731|420549329668|BSK-0A59F187|1|26.24|2026-06-16T22:48:10Z
OUT-1032|LOC-0532|TXN-30000692|031051834733|BSK-F8D822EF|2|54.82|2026-06-16T22:52:40Z
OUT-1032|LOC-0532|TXN-30000692|049663193148|BSK-F8D822EF|1|42.65|2026-06-16T22:52:40Z
OUT-1032|LOC-0532|TXN-30000692|812067974039|BSK-F8D822EF|1|15.11|2026-06-16T22:52:40Z
OUT-1005|LOC-0505|TXN-30000702|113826758694|BSK-870372FE|1|37.36|2026-06-16T22:54:48Z
OUT-1005|LOC-0505|TXN-30000702|680112805986|BSK-870372FE|1|8.25|2026-06-16T22:54:48Z
OUT-1005|LOC-0505|TXN-30000702|760366909675|BSK-870372FE|1|1.28|2026-06-16T22:54:48Z
TRAILER|82
